normalized_x1_error,normalized_x2_error,x1_estimate,x2_estimate,x1_real,x2_real,time
1.1553930530164536,-0.27422303473491777,16.41,0.0,13.25,0.75,2.735
-0.010613207547168957,-0.0141509433962236,16.96,0.0,16.99,0.03999999999999204,2.8266666666666667
0.06010606953447445,0.0,16.970000000000002,0.0,16.799999999999997,0.0,2.8283333333333336
0.0023288505672472005,-0.20028114878344128,11.939999999999998,-22.83,11.930000000000007,-21.97,4.293963786526383
-0.16531864283053926,0.08848040038817523,11.95,22.83,12.659999999999997,22.450000000000003,4.294736442566774
-0.07217064703635366,-0.048889793153655464,11.920000000000002,-22.85,12.230000000000004,-22.640000000000015,4.295375096801469
-0.08380979326179598,0.10243419176441942,11.939999999999998,22.84,12.299999999999997,22.39999999999999,4.295440735374091
0.01164024906413934,-0.20254033371600746,11.940000000000005,-22.84,11.89,-21.97,4.2954407353740915
-0.16296087406580567,0.08613646200620985,11.96,22.83,12.659999999999997,22.460000000000008,4.2955096062955995
-0.19778067061383672,0.0814390996645212,11.95,22.85,12.8,22.5,4.297689947970757
-0.2139949482031635,-0.0907152497817751,11.949999999999996,-22.86,12.870000000000005,-22.47,4.299166908961678
-0.11628252000156315,0.053489959200719084,11.940000000000005,22.869999999999997,12.439999999999998,22.64,4.299872414127863
-0.16509155339914927,-0.05115512922227325,11.950000000000003,-22.87,12.66000000000001,-22.64999999999999,4.300644008621138
-0.27437316396758266,-0.11858501154531309,11.969999999999999,-22.86,13.149999999999991,-22.349999999999994,4.300712150330454
-0.19748081237513918,-0.011616518375007531,12.37,-22.67,13.219999999999999,-22.620000000000005,4.304215633796967
-0.1300808718828412,-0.0766547995023881,12.379999999999999,-22.67,12.94,-22.340000000000003,4.305014195356645
-0.06961732779296949,-0.013923465558592826,12.360000000000001,-22.71,12.66,-22.650000000000006,4.309271980276947
-0.06724382200605236,0.05101255462528099,12.009999999999998,22.92,12.299999999999997,22.700000000000003,4.312663845518736
-0.049046724798839744,-0.07579948378002428,0.84,-26.9,1.0599999999999998,-26.560000000000002,4.485518674331629
1.2618316414806934e-15,0.031199601233437953,0.85,-26.909999999999997,0.8499999999999943,-27.049999999999983,4.487236838461331
-0.028970716574562523,-0.026742199914979496,0.8600000000000001,-26.91,0.9899999999999998,-26.790000000000006,4.487289766044137
0.40939246234890536,0.04647157680717217,27.06,-1.7,25.209999999999994,-1.9099999999999966,4.518891211102318
0.2984094066257871,0.02873572063803941,27.09,-1.71,25.739999999999995,-1.8400000000000034,4.523986074249124
0.27831722121005636,0.07731033922501516,27.11,-1.7,25.85,-2.049999999999997,4.527208178214129
0.3335311849604659,0.041967500094364577,27.11,-1.71,25.6,-1.9000000000000057,4.527312791393048
0.31110729926079717,0.011032173732652391,27.14,-1.7,25.73,-1.75,4.532198387341647
0.3539251626111288,0.07382488054465207,27.58,-1.71,25.95,-2.049999999999997,4.605493398588737
-0.0685760480135174,0.11221535129484483,-28.869999999999997,0.41999999999999815,-28.54,-0.11999999999999034,4.81217581880703
-0.01246399247789108,0.00207733207965085,-28.88,0.4299999999999997,-28.819999999999993,0.4199999999999875,4.813866833314865
-0.010383065950506927,-0.012459679140605067,-28.89,0.4299999999999997,-28.840000000000003,0.4899999999999807,4.815533315336019
