model,name,confidence,error_x1,error_x2
first,tree_evergreen_2,0.809899,-1.0,2.0
first,sapling_picked,0.800088,1.5,8.0
first,carrot_planted,0.795998,0.5,7.0
first,grass_picked,0.758865,0.5,1.0
first,carrot_planted,0.39005,0.5,6.0
first,sapling,0.87004,4.0,-1.0
first,tree_evergreen_3,0.863505,2.0,9.0
first,grass,0.855307,3.0,1.0
first,grass,0.853588,2.0,0.0
first,tree_evergreen_1,0.844097,1.0,5.0
first,grass,0.839278,2.0,1.0
first,tree_evergreen_2,0.838291,1.0,5.0
first,grass,0.834102,-1.0,2.0
first,grass,0.825053,0.0,1.0
first,carrot_planted,0.820901,0.5,2.0
first,flint,0.819366,0.0,0.0
first,tree_evergreen_2,0.816093,1.0,0.0
first,rock1,0.798718,-2.0,6.0
first,sapling_picked,0.783163,2.5,0.0
first,wilson,0.773355,-0.5,0.0
first,tree_evergreen_1,0.741132,-2.5,-2.0
first,tree_evergreen_3,0.878996,-2.0,6.0
first,grass,0.860522,1.5,1.0
first,sapling,0.846479,3.0,2.0
first,tree_evergreen_1,0.846015,2.5,-6.0
first,grass,0.844278,-0.5,2.0
first,tree_evergreen_2,0.840316,3.5,6.0
first,grass,0.836974,1.5,2.0
first,grass,0.83504,1.0,-1.0
first,grass,0.832125,1.5,2.0
first,tree_evergreen_1,0.831151,2.5,6.0
first,tree_evergreen_2,0.823271,2.0,6.0
first,wilson,0.822254,0.5,3.0
first,carrot_planted,0.818791,1.5,1.0
first,rock1,0.804562,0.0,1.0
first,flint,0.791302,-2.0,2.0
first,sapling_picked,0.787444,2.0,6.0
first,grass,0.862468,0.5,4.0
first,grass,0.855625,2.0,1.0
first,grass,0.85444,3.0,2.0
first,grass,0.816561,4.0,1.0
first,rock1,0.812094,4.5,8.0
first,rock1,0.805698,8.5,4.0
first,grass,0.884462,2.0,1.0
first,grass,0.877189,0.5,2.0
first,grass,0.876391,0.5,3.0
first,grass,0.867452,1.5,2.0
first,grass,0.863782,2.0,2.0
first,hound,0.804643,-2.0,1.0
first,wilson,0.79864,3.5,2.0
first,hound,0.791607,0.5,5.0
first,spider,0.755212,3.0,9.0
first,spider,0.726767,0.5,-1.0
first,sapling,0.833747,-0.5,-1.0
first,grass,0.832314,3.5,1.0
first,wilson,0.825898,1.0,4.0
first,berry_bush,0.822505,5.5,-1.0
first,tree_evergreen_2,0.817129,0.5,-9.0
first,tree_evergreen_1,0.800205,6.5,6.0
first,sapling,0.770744,1.5,3.0
