seed,num_landmarks,trajectory_name,u_noise,h_noise,player_mse,lm_mse
445,150,square_1,"[2, 2]","[2.0, 3.0]",0.0630663178259049,0.048505266943520656
445,150,square_1,"[2, 2]","[20.0, 25.0]",0.8350782649153187,2.4949051178886905
445,150,square_1,"[2, 2]","[40.0, 50.0]",5.795711966182296,14.584270967741192
445,150,square_2,"[0.1, 0.1]","[2.0, 3.0]",0.0031101786778875507,0.01620151102588624
445,150,square_2,"[0.1, 0.1]","[20.0, 25.0]",0.06603778075315893,1.9352113871252172
445,150,square_2,"[0.1, 0.1]","[40.0, 50.0]",0.110293879624254,10.418905288509173
445,150,square_2,"[0.5, 0.5]","[2.0, 3.0]",0.004385712086514874,0.028404429068925558
445,150,square_2,"[0.5, 0.5]","[20.0, 25.0]",0.07312221932261102,2.556604673562899
445,150,square_2,"[0.5, 0.5]","[40.0, 50.0]",0.6659378496552347,10.8374044799838
445,150,square_2,"[1, 1]","[2.0, 3.0]",0.007652178796738061,0.02258710751945455
445,150,square_2,"[1, 1]","[20.0, 25.0]",0.2562670943172453,2.564412259063557
445,150,square_2,"[1, 1]","[40.0, 50.0]",3.1491135771099437,12.282719132308612
445,150,square_2,"[2, 2]","[2.0, 3.0]",2.1034426746260357,1.7337233845490758
445,150,square_2,"[2, 2]","[20.0, 25.0]",0.20320813006975505,2.522448911296767
445,150,square_2,"[2, 2]","[40.0, 50.0]",3.4634435738593603,10.301932859716834
445,150,spiral_1,"[0.1, 0.1]","[2.0, 3.0]",0.0029926676305040483,0.019350391624695432
445,150,spiral_1,"[0.1, 0.1]","[20.0, 25.0]",0.06767941532673835,2.453482352600741
445,150,spiral_1,"[0.1, 0.1]","[40.0, 50.0]",0.12136803525213127,11.117247640449504
445,150,spiral_1,"[0.5, 0.5]","[2.0, 3.0]",0.004561506066304979,0.017233046857150314
445,150,spiral_1,"[0.5, 0.5]","[20.0, 25.0]",0.15158032677626262,2.3376167999343838
445,150,spiral_1,"[0.5, 0.5]","[40.0, 50.0]",1.6849541485410995,12.406525847380443
