handle_detected_objects_queue,handle_segmentation_queue,update_clock,update_world_model,update_player_model,slam_predict,use_received_yolo_info,use_received_segmentation_info,total
0,0,0,0,1505100,0,17419200,0,18924300
0,2126000,0,0,1508100,0,0,21073700,24707800
0,0,0,0,1243600,0,17227700,0,18471300
0,3016200,0,0,1509000,0,18086800,23564300,46176300
0,0,0,0,1436800,0,0,0,1436800
0,2004600,0,0,2001000,0,15553700,21095800,40655100
0,0,0,0,2004900,0,18645200,0,20650100
0,2002000,0,0,999400,0,17209900,18979200,39190500
0,0,0,0,2157700,0,20391000,0,22548700
0,2015500,0,0,2002100,0,16446100,22096300,42560000
0,0,0,0,2531400,0,0,0,2531400
0,1192700,0,0,2042600,0,17357700,19114000,39707000
0,0,0,0,2000500,0,18702200,0,20702700
0,1261000,0,0,1094300,0,18389900,18889900,39635100
0,0,0,0,2367500,0,20221500,0,22589000
0,2003800,0,0,2509600,0,18613600,21171000,44298000
0,0,0,0,2443400,0,11736800,0,14180200
0,2002800,0,0,1002100,0,0,18591900,22595700
0,0,0,0,1001000,0,14671700,0,15672700
0,2002500,0,0,999800,0,11698800,21570600,36271700
0,0,0,0,2001600,0,14200200,0,16706200
0,2003000,0,0,1998300,0,18043100,18694400,40738800
0,0,0,0,2000700,0,23422400,0,25423100
0,2007600,0,0,1997800,0,11711000,23062500,38778900
0,0,0,0,2008700,0,26081800,0,28090500
0,0,0,0,947000,0,14128400,0,15075400
0,2515900,0,0,1013400,0,29220800,21061600,54819100
0,0,0,0,1505900,0,0,0,1505900
0,2421500,0,0,1001600,0,13678600,23051100,40152800
0,0,0,0,1996900,0,30022100,0,32019000
0,2015200,0,0,1999900,0,13253400,20481800,37750300
0,0,0,0,2006400,0,14517500,0,16523900
0,2270100,0,0,1106900,0,10557500,20926100,34860600
0,0,0,0,999900,999500,9194400,0,11193800
0,2011400,0,0,1994900,0,11001300,21183600,36191200
0,0,0,0,1505100,0,10740300,0,12245400
0,1192500,0,0,2018800,0,11559800,20418900,35190000
0,0,0,0,1001400,0,0,0,1001400
0,0,0,0,2384700,0,14066700,0,16451400
0,2415700,0,0,1505600,0,10968400,19014900,33904600
0,0,0,0,2715800,0,10275200,0,12991000
0,2458300,0,0,1469100,0,11517700,20087400,35532500
0,0,0,0,2000100,0,9053100,0,11053200
0,2681600,0,0,3004900,0,28076700,22072800,55836000
0,0,0,0,1998000,1001200,25591700,0,28590900
0,1997700,0,1000700,2466100,0,0,20042500,25507000
0,0,0,0,2001800,0,19065100,0,21066900
0,2301500,0,0,3015900,0,28704600,19084500,53106500
0,0,0,0,1999200,0,13117900,0,15117100
0,2490200,0,0,2002100,0,29107600,22893300,56493200
0,0,0,0,4001600,0,17762300,0,22762600
0,2006900,0,0,2998400,0,0,19659300,24664600
0,0,0,0,2453000,0,15494400,0,17947400
0,2937000,0,0,3118600,0,18210000,21194400,45460000
0,0,0,0,2272600,0,14358500,0,16631100
0,2249600,0,0,1997400,0,19261300,18430500,41938800
0,0,0,0,2625100,0,16038300,0,18663400
508300,4331700,0,0,2548700,0,17198300,17187200,41774200
0,0,0,0,2477800,1030700,16169800,0,19678300
0,3177700,0,0,1999900,0,0,20495200,25672800
0,0,0,0,3000600,0,16378800,0,19379400
0,0,0,0,2000000,1000600,17895700,0,20896300
0,2221100,0,0,2999900,0,15433800,17525100,38179900
0,0,0,0,3253900,0,52169900,0,55423800
0,2704000,0,0,2827600,0,20429800,19038500,44999900
0,0,0,0,2512000,0,0,0,2512000
0,1844300,0,0,3010600,0,17265300,20566600,42686800
0,0,0,0,2757900,0,13723300,0,16481200
0,2133300,0,0,2002300,0,18417300,20039000,42591900
0,0,0,0,2006000,0,13862500,0,15868500
0,2042700,0,0,2357100,0,17199200,20383800,41982800
0,0,0,0,3434200,0,19397100,0,22831300
0,2000300,0,0,2536900,0,18374900,16228900,39141000
505700,0,0,0,2279400,0,0,0,2785100
0,2993400,0,999200,2559400,0,20287300,20738200,47577500
0,0,0,0,2421300,0,21501700,0,23923000
0,2242300,0,0,1999600,0,17073000,23390200,44705100
0,0,0,0,4000200,0,17734000,0,21734200
0,507100,0,0,2114900,505800,10596300,0,13724100
0,2143800,0,0,2330000,0,26529600,20959000,51962400
0,0,0,0,1995400,0,0,0,1995400
0,2250200,0,0,2000000,0,11806900,17097700,33154800
0,0,0,0,2998100,0,11984400,0,14982500
0,2000100,0,0,1999300,1000100,11523500,18034900,34557900
0,0,0,0,3312500,0,12514200,0,17280900
0,2000000,0,0,2004800,0,23594400,20487400,48086600
0,0,0,0,2335400,0,8949900,0,11285300
0,1883300,0,0,3001900,0,14761400,18721300,38367900
0,0,0,0,2815500,0,23237500,0,26053000
0,0,0,0,1506000,0,0,0,2905300
0,2511400,0,0,2392400,997700,13549700,24183500,44773200
0,0,0,0,2300000,0,0,0,2300000
0,2005700,0,0,2999800,0,12961800,17598900,35566200
