p1,p2
19495900.0,1002400.0
29045900.0,0.0
32942600.0,1003700.0
38294600.0,1001100.0
34197300.0,1403700.0
32500900.0,0.0
55946100.0,1433200.0
38147700.0,1154600.0
44969000.0,1001600.0
62485900.0,999000.0
43353500.0,1000100.0
47622600.0,1436300.0
48238400.0,0.0
29285800.0,1001000.0
32307500.0,998000.0
35793400.0,1511600.0
46478200.0,0.0
37396400.0,998600.0
22775100.0,0.0
21053900.0,0.0
19552400.0,1008700.0
21083200.0,0.0
17796900.0,1002400.0
20921600.0,0.0
26186400.0,0.0
29234700.0,1008000.0
22811500.0,1027600.0
26230600.0,1013600.0
21846100.0,0.0
24867300.0,509700.0
24955300.0,1100000.0
34613500.0,0.0
34435000.0,0.0
33968200.0,1006500.0
49122300.0,1002200.0
28810600.0,1379500.0
26222000.0,1006600.0
18371900.0,1004700.0
18014700.0,1000700.0
21114200.0,0.0
21260200.0,1001400.0
19175100.0,1205900.0
20387800.0,0.0
17623900.0,0.0
19350000.0,1163300.0
18305400.0,0.0
17496400.0,0.0
17554300.0,0.0
15796500.0,1008400.0
18268700.0,0.0
15216800.0,0.0
16195200.0,0.0
19573300.0,0.0
19555400.0,507800.0
19877200.0,1009100.0
19039900.0,997900.0
19657300.0,0.0
17140000.0,1002500.0
16177000.0,0.0
25900800.0,0.0
21120900.0,0.0
24044100.0,0.0
17002200.0,0.0
13175600.0,0.0
11038000.0,999300.0
14067500.0,1081900.0
16532100.0,1008000.0
18993800.0,1000200.0
13826300.0,1236300.0
14664100.0,0.0
17235000.0,0.0
11716600.0,0.0
17705400.0,0.0
20050500.0,0.0
11550800.0,0.0
18630200.0,1008300.0
16759300.0,0.0
21231900.0,0.0
15897900.0,0.0
17329500.0,0.0
25294600.0,1003900.0
18067200.0,1007700.0
25663600.0,0.0
12763800.0,0.0
9245200.0,1003400.0
10065900.0,0.0
9943200.0,0.0
14330800.0,1001400.0
10877900.0,0.0
17091700.0,1235400.0
18105600.0,1012400.0
7395000.0,0.0
7061900.0,1300300.0
7232700.0,1504000.0
9264600.0,1001000.0
11055800.0,0.0
17086800.0,1195700.0
15857200.0,1014600.0
9831300.0,0.0
13845200.0,1498700.0
10527600.0,0.0
10117000.0,1365300.0
9539800.0,0.0
11521400.0,0.0
6339800.0,0.0
10839100.0,0.0
12482800.0,1005400.0
10520300.0,1281600.0
9642800.0,1469500.0
16361900.0,1014900.0
29252200.0,1127400.0
8976500.0,0.0
10853000.0,0.0
,
12874800.0,0.0
,
14094400.0,0.0
12791800.0,0.0
10023500.0,1260900.0
10477700.0,0.0
14046800.0,0.0
15428900.0,0.0
10531700.0,0.0
11673000.0,0.0
9924000.0,1003000.0
8511800.0,0.0
8330000.0,0.0
10150000.0,1506400.0
11399400.0,0.0
9789700.0,1107700.0
11513700.0,0.0
15059200.0,1369900.0
15452300.0,1506000.0
11489800.0,0.0
8522000.0,1000700.0
13551400.0,0.0
12535800.0,0.0
13004700.0,0.0
17041600.0,0.0
12504700.0,0.0
14061100.0,0.0
17063900.0,1131200.0
25582000.0,0.0
26796300.0,1003100.0
27351700.0,1507600.0
22557700.0,0.0
23384600.0,1001000.0
16396100.0,0.0
9552200.0,0.0
4079000.0,1462500.0
8515700.0,0.0
9624000.0,1008500.0
5508100.0,0.0
7525700.0,1372800.0
7092400.0,0.0
6677800.0,0.0
4370700.0,998800.0
3206500.0,0.0
4650000.0,1315900.0
5505800.0,0.0
7187300.0,0.0
5999300.0,0.0
7974200.0,0.0
3000400.0,0.0
3518100.0,0.0
5108600.0,0.0
2998500.0,1001700.0
2509300.0,0.0
